occ90,occ90_desc,occ00,occ00_desc,conversion_factor
,,470,First-line supervisors/managers of retail sales workers,0.667
,,474,Counter and rental clerks,82.667
,,476,Retail salespersons,8.667
,,770,First-line supervisors/managers of production and operating workers,8.000
276,Cashiers,,,
,,365,Medical assistants and other healthcare support occupations,3.383
,,472,Cashiers,75.940
,,476,Retail salespersons,20.301
,,513,Gaming cage workers,0.376
277,Street and door-to-door sales workers,,,
,,412,"Food servers, nonrestaurant",1.053
,,490,"Models, demonstrators, and product promoters",3.158
,,494,Telemarketers,37.895
,,495,"Door-to-door sales workers, news and street vendors, and related workers",38.947
,,496,"Sales and related workers, all other",18.947
278,News vendors,,,
,,495,"Door-to-door sales workers, news and street vendors, and related workers",83.523
,,913,Driver/sales workers and truck drivers,16.477
283,"Demonstrators, promoters and models, sales",,,
,,490,"Models, demonstrators, and product promoters",98.621
,,496,"Sales and related workers, all other",1.379
284,Auctioneers,,,
,,496,"Sales and related workers, all other",100.000
285,"Sales support occupations, n.e.c.",,,
,,260,Artists and related workers,6.897
,,496,"Sales and related workers, all other",89.655
,,875,Jewelers and precious stone and metal workers,3.448
303,"Supervisors, general office",,,
,,500,First-line supervisors/managers of office and administrative support workers,94.690
,,570,Secretaries and administrative assistants,5.310
304,"Supervisors, computer equipment operators",,,
,,500,First-line supervisors/managers of office and administrative support workers,100.000
305,"Supervisors, financial records processing",,,
,,500,First-line supervisors/managers of office and administrative support workers,100.000
306,Chief communications operators,,,
,,500,First-line supervisors/managers of office and administrative support workers,100.000
307,"Supervisors; distribution, scheduling, and adjusting clerks",,,
,,500,First-line supervisors/managers of office and administrative support workers,96.154
,,770,First-line supervisors/managers of production and operating workers,3.846
308,Computer operators,,,
,,580,Computer operators,100.000
309,Peripheral equipment operators,,,
,,580,Computer operators,92.958
,,590,"Office machine operators, except computer",7.042
313,Secretaries,,,
,,500,First-line supervisors/managers of office and administrative support workers,1.439
,,570,Secretaries and administrative assistants,98.561
314,Stenographers,,,
,,215,Miscellaneous legal support workers,68.786
,,365,Medical assistants and other healthcare support occupations,16.763
,,593,"Office and administrative support workers, all other",14.451
315,Typists,,,
,,582,Word processors and typists,99.315
,,583,Desktop publishers,0.685
316,Interviewers,,,
,,523,"Credit authorizers, checkers, and clerks",7.345
,,531,"Interviewers, except eligibility and loan",87.006
,,534,New accounts clerks,5.650
317,Hotel clerks,,,
,,530,"Hotel, motel, and resort desk clerks",83.030
,,541,Reservation and transportation ticket agents and travel clerks,16.970
318,Transportation ticket and reservation agents,,,
,,472,Cashiers,1.835
,,483,Travel agents,45.413
,,484,"Sales representatives, services, all other",1.835
,,494,Telemarketers,0.917
,,541,Reservation and transportation ticket agents and travel clerks,49.541
,,593,"Office and administrative support workers, all other",0.459
319,Receptionists,,,
,,531,"Interviewers, except eligibility and loan",4.324
,,540,Receptionists and information clerks,95.676
323,"Information clerks, n.e.c.",,,
,,072,Meeting and convention planners,1.504
,,104,Computer support specialists,0.752
,,524,Customer service representatives,5.263
,,533,Loan interviewers and clerks,1.504
,,540,Receptionists and information clerks,90.226
,,563,"Weighers, measurers, checkers, and samplers, recordkeeping",0.752
325,Classified-ad clerks,,,
,,535,Order clerks,100.000
326,Correspondence clerks,,,
,,521,Correspondence clerks,100.000
327,Order clerks,,,
,,524,Customer service representatives,42.857
,,535,Order clerks,50.857
,,562,Stock clerks and order fillers,6.286
328,"Personnel clerks, except payroll and timekeeping",,,
,,536,"Human resources assistants, except payroll and timekeeping",70.588
,,584,Insurance claims and policy processing clerks,29.412
329,Library clerks,,,
,,244,Library Technicians,27.059
,,532,"Library assistants, clerical",72.941
335,File clerks,,,
,,526,File Clerks,100.000
336,Records clerks,,,
,,054,"Claims adjusters, appraisers, examiners, and investigators",0.671
,,086,Insurance underwriters,3.356
,,511,Billing and posting clerks and machine operators,5.369
,,520,Brokerage clerks,4.698
,,524,Customer service representatives,6.040
,,526,File Clerks,42.282
,,536,"Human resources assistants, except payroll and timekeeping",1.342
,,542,"Information and record clerks, all other",21.477
,,562,Stock clerks and order fillers,0.671
,,563,"Weighers, measurers, checkers, and samplers, recordkeeping",0.671
,,570,Secretaries and administrative assistants,0.671
,,584,Insurance claims and policy processing clerks,6.711
,,591,Proofreaders and copy markers,0.671
,,593,"Office and administrative support workers, all other",5.369
337,"Bookkeepers, accounting, and auditing clerks",,,
,,510,Bill and account collectors,2.500
,,511,Billing and posting clerks and machine operators,3.750
,,512,"Bookkeeping, accounting, and auditing clerks",92.917
,,526,File Clerks,0.833
338,Payroll and timekeeping clerks,,,
,,514,Payroll and timekeeping clerks,100.000
339,Billing clerks,,,
,,511,Billing and posting clerks and machine operators,100.000
343,Cost and rate clerks,,,
,,511,Billing and posting clerks and machine operators,100.000
344,"Billing, posting, and calculating machine operators",,,
,,511,Billing and posting clerks and machine operators,55.714
,,590,"Office machine operators, except computer",44.286
345,Duplicating machine operators,,,
,,590,"Office machine operators, except computer",100.000
346,Mail preparing and paper handling machine operators,,,
,,585,"Mail clerks and mail machine operators, except postal service",100.000
347,"Office machine operators, n.e.c.",,,
,,590,"Office machine operators, except computer",100.000
348,Telephone operators,,,
,,501,"Switchboard operators, including answering service",40.782
,,502,Telephone operators,59.218
353,"Communications equipment operators, n.e.c.",,,
,,501,"Switchboard operators, including answering service",43.750
,,502,Telephone operators,11.458
,,503,"Communications equipment operators, all other",28.125
,,590,"Office machine operators, except computer",4.167
,,920,Locomotive engineers and operators,12.500
354,"Postal clerks, exc. mail carriers",,,
,,554,Postal service clerks,54.054
,,555,Postal service mail carriers,0.541
,,556,"Postal service mail sorters, processors, and processing machine operators",42.162
,,590,"Office machine operators, except computer",3.243
355,"Mail carriers, postal service",,,
,,555,Postal service mail carriers,100.000
356,"Mail clerks, exc. postal service",,,
,,551,Couriers and messengers,4.403
,,585,"Mail clerks and mail machine operators, except postal service",95.597
357,Messengers,,,
,,496,"Sales and related workers, all other",1.299
,,551,Couriers and messengers,98.052
,,585,"Mail clerks and mail machine operators, except postal service",0.649
359,Dispatchers,,,
,,552,Dispatchers,99.187
,,770,First-line supervisors/managers of production and operating workers,0.813
363,Production coordinators,,,
,,552,Dispatchers,2.857
,,560,"Production, planning, and expediting clerks",97.143
364,"Traffic, shipping, and receiving clerks",,,
,,524,Customer service representatives,7.111
,,541,Reservation and transportation ticket agents and travel clerks,0.444
,,550,Cargo and freight agents,5.333
,,561,"Shipping, receiving, and traffic clerks",87.111
365,Stock and inventory clerks,,,
,,403,Food preparation workers,0.985
,,500,First-line supervisors/managers of office and administrative support workers,2.463
,,515,Procurement clerks,5.419
,,535,Order clerks,1.478
,,562,Stock clerks and order fillers,87.192
,,563,"Weighers, measurers, checkers, and samplers, recordkeeping",2.463
366,Meter readers,,,
,,553,"Meter readers, utilities",100.000
368,"Weighers, measurers, checkers and samplers",,,
,,535,Order clerks,7.692
,,563,"Weighers, measurers, checkers, and samplers, recordkeeping",85.470
,,874,"Inspectors, testers, sorters, samplers, and weighers",3.419
,,896,"Production workers, all other",3.419
373,Expediters,,,
,,524,Customer service representatives,55.844
,,560,"Production, planning, and expediting clerks",44.156
374,"Material recording, scheduling, and distributing clerks, n.e.c.",,,
,,524,Customer service representatives,2.899
,,535,Order clerks,1.449
,,552,Dispatchers,1.449
,,560,"Production, planning, and expediting clerks",21.739
,,562,Stock clerks and order fillers,63.768
,,593,"Office and administrative support workers, all other",8.696
375,"Insurance adjusters, examiners, and investigators",,,
,,054,"Claims adjusters, appraisers, examiners, and investigators",75.978
,,584,Insurance claims and policy processing clerks,24.022
376,"Investigators and adjusters, except insurance",,,
,,054,"Claims adjusters, appraisers, examiners, and investigators",1.970
,,062,"Human resources, training, and labor relations specialists",1.478
,,091,Loan counselors and officers,0.985
,,391,Private detectives and investigators,0.493
,,523,"Credit authorizers, checkers, and clerks",7.389
,,524,Customer service representatives,74.384
,,525,"Eligibility interviewers, government programs",0.493
,,533,Loan interviewers and clerks,8.867
,,542,"Information and record clerks, all other",0.493
,,586,"Office clerks, general",0.985
,,593,"Office and administrative support workers, all other",2.463
377,"Eligibility clerks, social welfare",,,
,,202,Miscellaneous community and social service specialists,1.250
,,511,Billing and posting clerks and machine operators,1.250
,,525,"Eligibility interviewers, government programs",68.750
,,584,Insurance claims and policy processing clerks,28.750
378,Bill and account collectors,,,
,,484,"Sales representatives, services, all other",0.658
,,510,Bill and account collectors,99.342
379,General office clerks,,,
,,254,Teacher assistants,0.664
,,500,First-line supervisors/managers of office and administrative support workers,1.661
,,540,Receptionists and information clerks,2.990
,,561,"Shipping, receiving, and traffic clerks",0.332
,,586,"Office clerks, general",90.033
,,593,"Office and administrative support workers, all other",4.319
383,Bank tellers,,,
,,472,Cashiers,2.367
,,516,Tellers,97.633
384,Proofreaders,,,
,,591,Proofreaders and copy markers,100.000
385,Data-entry keyers,,,
,,503,"Communications equipment operators, all other",1.070
,,581,Data entry keyers,98.930
386,Statistical clerks,,,
,,351,Medical records and health information technicians,55.556
,,512,"Bookkeeping, accounting, and auditing clerks",6.481
,,592,Statistical assistants,37.963
387,Teachers' aides,,,
,,254,Teacher assistants,100.000
389,"Administrative support occupations, n.e.c.",,,
,,286,Miscellaneous media and communication workers,0.461
,,365,Medical assistants and other healthcare support occupations,3.687
,,522,"Court, municipal, and license clerks",13.825
,,523,"Credit authorizers, checkers, and clerks",0.922
,,524,Customer service representatives,0.461
,,533,Loan interviewers and clerks,3.226
,,541,Reservation and transportation ticket agents and travel clerks,1.843
,,586,"Office clerks, general",14.286
,,593,"Office and administrative support workers, all other",52.535
,,896,"Production workers, all other",4.147
,,964,"Packers and packagers, hand",4.608
403,Launderers and ironers,,,
,,830,Laundry and dry-cleaning workers,16.901
,,831,"Pressers, textile, garment, and related materials",83.099
404,"Cooks, private household",,,
,,402,Cooks,100.000
405,Housekeepers and butlers,,,
,,401,First-line supervisors/managers of food preparation and serving workers,1.031
,,420,First-line supervisors/managers of housekeeping and janitorial workers,1.031
,,423,Maids and housekeeping cleaners,68.041
,,432,First-line supervisors/managers of personal service workers,1.031
,,465,"Personal care and service workers, all other ",28.866
406,"Child care workers, private household",,,
,,460,Child care workers,100.000
407,Private household cleaners and servants,,,
,,402,Cooks,1.967
,,422,Janitors and building cleaners,4.262
,,423,Maids and housekeeping cleaners,82.623
,,461,Personal and home care aides,10.164
,,465,"Personal care and service workers, all other ",0.656
,,551,Couriers and messengers,0.328
413,"Supervisors, firefighting and fire prevention occupations",,,
,,372,First-line supervisors/managers of fire fighting and prevention workers,82.692
,,374,Fire fighters,2.885
,,375,Fire inspectors,14.423
414,"Supervisors, police and detectives",,,
,,370,First-line supervisors/managers of correctional officers,10.303
,,371,First-line supervisors/managers of police and detectives,80.000
,,385,Police and sheriff's patrol officers,9.697
415,"Supervisors, guards",,,
,,370,First-line supervisors/managers of correctional officers,0.671
,,371,First-line supervisors/managers of police and detectives,0.671
,,373,"Supervisors, protective service workers, all other",83.893
,,380,"Bailiffs, correctional officers, and jailers",2.013
,,392,Security guards and gaming surveillance officers,12.752
416,Fire inspection and fire prevention occupations,,,
,,374,Fire fighters,7.752
,,375,Fire inspectors,75.194
,,392,Security guards and gaming surveillance officers,17.054
417,Firefighting occupations,,,
,,372,First-line supervisors/managers of fire fighting and prevention workers,2.222
,,374,Fire fighters,95.556
,,375,Fire inspectors,2.222
418,"Police and detectives, public service",,,
,,093,"Tax examiners, collectors, and revenue agents",0.526
,,382,Detectives and criminal investigators,22.105
,,385,Police and sheriff's patrol officers,75.789
,,386,Transit and railroad police,1.579
423,"Sheriffs, bailiffs, and other law enforcement officers",,,
,,371,First-line supervisors/managers of police and detectives,1.266
,,380,"Bailiffs, correctional officers, and jailers",37.342
,,382,Detectives and criminal investigators,1.899
,,383,Fish and game wardens,7.595
,,384,Parking enforcement workers,8.228
,,385,Police and sheriff's patrol officers,36.709
,,392,Security guards and gaming surveillance officers,5.063
,,395,Lifeguards and other protective service workers,1.899
424,Correctional institution officers,,,
,,380,"Bailiffs, correctional officers, and jailers",100.000
425,Crossing guards,,,
,,392,Security guards and gaming surveillance officers,2.116
,,394,Crossing guards,97.884
426,"Guards and police, exc. public service",,,
,,385,Police and sheriff's patrol officers,4.418
,,386,Transit and railroad police,0.803
,,391,Private detectives and investigators,6.024
,,392,Security guards and gaming surveillance officers,85.542
,,395,Lifeguards and other protective service workers,1.606
,,443,Miscellaneous entertainment attendants and related workers,1.606
427,"Protective service occupations, n.e.c.",,,
,,383,Fish and game wardens,1.538
,,390,Animal control workers,12.821
,,392,Security guards and gaming surveillance officers,0.513
,,395,Lifeguards and other protective service workers,82.564
,,460,Child care workers,2.564
433,"Supervisors, food preparation and service occupations",,,
,,400,Chefs and head cooks,12.921
,,401,First-line supervisors/managers of food preparation and serving workers,59.551
,,411,Waiters and waitresses,3.933
,,415,"Hosts and hostesses, restaurant, lounge, and coffee shop",21.910
,,500,First-line supervisors/managers of office and administrative support workers,1.124
,,780,Bakers,0.562
434,Bartenders,,,
,,404,Bartenders,100.000
435,Waiters and waitresses,,,
,,405,"Combined food preparation and serving workers, including fast food",0.476
,,411,Waiters and waitresses,99.524
436,Cooks,,,
,,400,Chefs and head cooks,8.779
,,402,Cooks,72.137
,,403,Food preparation workers,12.214
,,405,"Combined food preparation and serving workers, including fast food",4.198
,,780,Bakers,2.672
438,"Food counter, fountain and related occupations",,,
,,403,Food preparation workers,2.890
,,405,"Combined food preparation and serving workers, including fast food",10.405
,,406,"Counter attendants, cafeteria, food concession, and coffee shop",61.850
,,411,Waiters and waitresses,12.717
,,412,"Food servers, nonrestaurant",10.405
,,413,Dining room and cafeteria attendants and bartender helpers,1.734
439,"Kitchen workers, food preparation",,,
,,403,Food preparation workers,52.525
,,405,"Combined food preparation and serving workers, including fast food",45.960
,,781,"Butchers and other meat, poultry, and fish processing workers",1.515
443,Waiters'/waitresses' assistants,,,
,,406,"Counter attendants, cafeteria, food concession, and coffee shop",12.429
,,411,Waiters and waitresses,18.079
,,412,"Food servers, nonrestaurant",9.605
,,413,Dining room and cafeteria attendants and bartender helpers,59.887
444,Miscellaneous food preparation occupations,,,
,,402,Cooks,11.795
,,403,Food preparation workers,27.179
,,405,"Combined food preparation and serving workers, including fast food",1.538
,,412,"Food servers, nonrestaurant",3.077
,,413,Dining room and cafeteria attendants and bartender helpers,11.795
,,414,Dishwashers,36.410
,,415,"Hosts and hostesses, restaurant, lounge, and coffee shop",1.026
,,416,"Food preparation and serving related workers, all other",7.179
445,Dental assistants,,,
,,364,Dental assistants,100.000
446,"Health aides, except nursing",,,
,,200,Counselors,6.000
,,313,Registered nurses,0.400
,,315,Occupational therapists,0.800
,,316,Physical therapists,4.800
,,330,Clinical laboratory technologists and technicians,9.200
,,341,Health diagnosing and treating practitioner support technicians,1.200
,,360,"Nursing, psychiatric, and home health aides",4.800
,,361,Occupational therapist assistants and aides,1.600
,,362,Physical therapist assistants and aides,8.000
,,365,Medical assistants and other healthcare support occupations,53.200
,,412,"Food servers, nonrestaurant",9.200
,,911,"Ambulance drivers and attendants, except emergency medical technicians",0.800
447,"Nursing aides, orderlies, and attendants",,,
,,313,Registered nurses,1.639
,,341,Health diagnosing and treating practitioner support technicians,1.311
,,350,Licensed practical and licensed vocational nurses,8.852
,,360,"Nursing, psychiatric, and home health aides",70.820
,,361,Occupational therapist assistants and aides,0.328
,,365,Medical assistants and other healthcare support occupations,3.934
,,460,Child care workers,2.623
,,461,Personal and home care aides,10.492
448,"Supervisors, cleaning and building service workers",,,
,,420,First-line supervisors/managers of housekeeping and janitorial workers,96.063
,,422,Janitors and building cleaners,3.150
,,975,"Material moving workers, all other",0.787
449,Maids and housemen,,,
,,422,Janitors and building cleaners,13.744
,,423,Maids and housekeeping cleaners,84.360
,,453,"Baggage porters, bellhops, and concierges",1.896
453,Janitors and cleaners,,,
,,420,First-line supervisors/managers of housekeeping and janitorial workers,4.298
,,422,Janitors and building cleaners,64.470
,,423,Maids and housekeeping cleaners,23.209
,,453,"Baggage porters, bellhops, and concierges",0.287
,,733,Industrial and refractory machinery mechanics,0.573
,,961,Cleaners of vehicles and equipment,3.725
,,962,"Laborers and freight, stock, and material movers, hand",3.438
454,Elevator operators,,,
,,975,"Material moving workers, all other",100.000
455,Pest control occupations,,,
,,424,Pest control workers,100.000
456,"Supervisors, personal service occupations",,,
,,401,First-line supervisors/managers of food preparation and serving workers,2.542
,,430,First-line supervisors/managers of gaming workers,9.322
,,432,First-line supervisors/managers of personal service workers,40.678
,,442,"Ushers, lobby attendants, and ticket takers",1.695
,,443,Miscellaneous entertainment attendants and related workers,5.932
,,453,"Baggage porters, bellhops, and concierges",7.627
,,460,Child care workers,27.966
,,471,First-line supervisors/managers of non-retail sales workers,1.695
,,975,"Material moving workers, all other",2.542
457,Barbers,,,
,,220,Postsecondary teachers,0.515
,,450,Barbers,96.392
,,451,"Hairdressers, hairstylists, and cosmetologists",3.093
458,Hairdressers and cosmetologists,,,
,,220,Postsecondary teachers,1.932
,,451,"Hairdressers, hairstylists, and cosmetologists",89.855
,,452,Miscellaneous personal appearance workers,8.213
459,"Attendants, amusement and recreation facilities",,,
,,392,Security guards and gaming surveillance officers,1.899
,,430,First-line supervisors/managers of gaming workers,1.899
,,440,Gaming services workers,32.911
,,442,"Ushers, lobby attendants, and ticket takers",3.797
,,443,Miscellaneous entertainment attendants and related workers,52.532
,,460,Child care workers,1.266
,,462,Recreation and fitness workers,3.797
,,474,Counter and rental clerks,1.899
461,Guides,,,
,,360,"Nursing, psychiatric, and home health aides",12.295
,,454,Tour and travel guides,87.705
462,Ushers,,,
,,406,"Counter attendants, cafeteria, food concession, and coffee shop",1.333
,,442,"Ushers, lobby attendants, and ticket takers",98.667
463,Public transportation attendants,,,
,,455,Transportation attendants,100.000
464,Baggage porters and bellhops,,,
,,412,"Food servers, nonrestaurant",17.829
,,453,"Baggage porters, bellhops, and concierges",79.070
,,455,Transportation attendants,3.101
465,Welfare service aides,,,
,,202,Miscellaneous community and social service specialists,59.524
,,460,Child care workers,1.190
,,461,Personal and home care aides,39.286
466,Family child care providers,,,
,,460,Child care workers,100.000
467,Early childhood teacher's assistants,,,
,,254,Teacher assistants,18.966
,,460,Child care workers,81.034
468,"Child care workers, n.e.c.",,,
,,254,Teacher assistants,7.634
,,460,Child care workers,80.916
,,464,Residential advisors,11.450
469,"Personal service occupations, n.e.c.",,,
,,034,Lodging managers,0.532
,,280,Announcers,1.064
,,363,Massage therapists,13.830
,,365,Medical assistants and other healthcare support occupations,1.064
,,401,First-line supervisors/managers of food preparation and serving workers,1.064
,,415,"Hosts and hostesses, restaurant, lounge, and coffee shop",25.000
,,420,First-line supervisors/managers of housekeeping and janitorial workers,0.532
,,422,Janitors and building cleaners,0.532
,,423,Maids and housekeeping cleaners,19.149
,,442,"Ushers, lobby attendants, and ticket takers",9.574
,,443,Miscellaneous entertainment attendants and related workers,6.383
,,446,Funeral service workers,4.255
,,453,"Baggage porters, bellhops, and concierges",2.660
,,454,Tour and travel guides,0.532
,,462,Recreation and fitness workers,1.064
,,464,Residential advisors,5.319
,,465,"Personal care and service workers, all other ",5.851
,,470,First-line supervisors/managers of retail sales workers,0.532
,,490,"Models, demonstrators, and product promoters",1.064
473,"Farmers, except horticultural",,,
,,021,Farmers and ranchers,70.792
,,425,Grounds maintenance workers,0.990
,,605,Miscellaneous agricultural workers ,28.218
474,Horticultural specialty farmers,,,
,,021,Farmers and ranchers,18.125
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",5.000
,,425,Grounds maintenance workers,75.625
,,605,Miscellaneous agricultural workers ,1.250
475,"Managers, farms, except horticultural",,,
,,020,"Farm, ranch, and other agricultural managers",70.000
,,600,"First-line supervisors/managers of farming, fishing, and forestry workers",7.778
,,602,Animal breeders,5.556
,,605,Miscellaneous agricultural workers ,16.667
476,"Managers, horticultural specialty farms",,,
,,020,"Farm, ranch, and other agricultural managers",55.435
,,263,Designers,4.348
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",40.217
477,"Supervisors, farm workers",,,
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",2.632
,,600,"First-line supervisors/managers of farming, fishing, and forestry workers",97.368
479,Farm workers,,,
,,020,"Farm, ranch, and other agricultural managers",4.870
,,425,Grounds maintenance workers,1.623
,,434,Animal trainers,3.247
,,435,Nonfarm animal caretakers,1.948
,,605,Miscellaneous agricultural workers ,87.662
,,612,Forest and conservation workers,0.325
,,854,"Woodworking machine setters, operators, and tenders, except sawing",0.325
483,Marine life cultivation workers,,,
,,605,Miscellaneous agricultural workers ,100.000
484,Nursery workers,,,
,,425,Grounds maintenance workers,6.936
,,605,Miscellaneous agricultural workers ,93.064
485,"Supervisors, related agricultural occupations",,,
,,020,"Farm, ranch, and other agricultural managers",2.381
,,421,"First-line supervisors/managers of landscaping, lawn service, and groundskeeping workers",73.016
,,425,Grounds maintenance workers,2.381
,,600,"First-line supervisors/managers of farming, fishing, and forestry workers",10.317
,,605,Miscellaneous agricultural workers ,11.905
486,"Groundskeepers and gardeners, except farm",,,
,,422,Janitors and building cleaners,1.747
,,425,Grounds maintenance workers,87.336
,,605,Miscellaneous agricultural workers ,10.917
487,"Animal caretakers, except farm",,,
,,365,Medical assistants and other healthcare support occupations,22.892
,,435,Nonfarm animal caretakers,73.494
,,605,Miscellaneous agricultural workers ,3.614
488,"Graders and sorters, agricultural products",,,
,,604,"Graders and sorters, agricultural products",40.645
,,605,Miscellaneous agricultural workers ,47.097
,,964,"Packers and packagers, hand",12.258
489,"Inspectors, agricultural products",,,
,,601,Agricultural inspectors,76.389
,,604,"Graders and sorters, agricultural products",22.222
,,605,Miscellaneous agricultural workers ,1.389
494,"Supervisors, forestry, and logging workers",,,
,,600,"First-line supervisors/managers of farming, fishing, and forestry workers",80.519
,,613,Logging workers,19.481
495,"Forestry workers, except logging",,,
,,021,Farmers and ranchers,0.658
,,196,"Other life, physical, and social science technicians",27.632
,,612,Forest and conservation workers,71.711
496,Timber cutting and logging occupations,,,
,,613,Logging workers,100.000
497,"Captains and other officers, fishing vessels",,,
,,610,Fishers and related fishing workers,75.862
,,931,Ship and boat captains and operators,24.138
498,Fishers,,,
,,020,"Farm, ranch, and other agricultural managers",0.515
,,605,Miscellaneous agricultural workers ,1.031
,,610,Fishers and related fishing workers,96.392
,,930,Sailors and marine oilers,1.546
,,952,"Dredge, excavating, and loading machine operators",0.515
499,Hunters and trappers,,,
,,610,Fishers and related fishing workers,8.197
,,611,Hunters and trappers,91.803
503,"Supervisors, mechanics and repairers",,,
,,700,"First-line supervisors/managers of mechanics, installers, and repairers",99.310
,,770,First-line supervisors/managers of production and operating workers,0.690
505,Automobile mechanics,,,
,,711,"Electronic equipment installers and repairers, motor vehicles",1.156
,,720,Automotive service technicians and mechanics,98.266
,,721,Bus and truck mechanics and diesel engine specialists,0.578
506,Automobile mechanic apprentices,,,
,,720,Automotive service technicians and mechanics,100.000
507,"Bus, truck, and stationary engine mechanics",,,
,,721,Bus and truck mechanics and diesel engine specialists,96.450
,,722,Heavy vehicle and mobile equipment service technicians and mechanics,3.550
508,Aircraft engine mechanics,,,
,,714,Aircraft mechanics and service technicians,100.000
509,Small engine repairers,,,
,,724,Small engine mechanics,100.000
514,Automobile body and related repairers,,,
,,715,Automotive body and related repairers,92.661
,,716,Automotive glass installers and repairers,7.339
515,"Aircraft mechanics, exc. engine",,,
,,714,Aircraft mechanics and service technicians,100.000
516,Heavy equipment mechanics,,,
,,722,Heavy vehicle and mobile equipment service technicians and mechanics,100.000
517,Farm equipment mechanics,,,
,,722,Heavy vehicle and mobile equipment service technicians and mechanics,100.000
518,Industrial machinery repairers,,,
,,733,Industrial and refractory machinery mechanics,97.297
,,736,Millwrights,1.351
,,841,"Textile knitting and weaving machine setters, operators, and tenders",1.351
519,Machinery maintenance occupations,,,
,,735,"Maintenance workers, machinery",100.000
523,"Electronic repairers, communications and industrial  equipment ",,,
,,290,Broadcast and sound engineering technicians and radio operators,6.289
,,635,Electricians,2.516
,,701,"Computer, automated teller, and office machine repairers",2.516
,,702,Radio and telecommunications equipment installers and repairers,42.767
,,703,Avionics technicians,6.289
,,710,"Electrical and electronics repairers, industrial and utility",4.403
,,711,"Electronic equipment installers and repairers, motor vehicles",1.258
,,712,Electronic home entertainment equipment installers and repairers,14.465
,,713,Security and fire alarm systems installers,0.629
,,742,Telecommunications line installers and repairers,18.868
525,Data processing equipment repairers,,,
,,701,"Computer, automated teller, and office machine repairers",100.000
526,Household appliance and power tool repairers,,,
,,635,Electricians,1.099
,,704,"Electric motor, power tool, and related repairers",6.593
,,731,"Heating, air conditioning, and refrigeration mechanics and installers",1.099
,,732,Home appliance repairers,91.209
527,Telephone line installers and repairers,,,
,,741,Electrical power-line installers and repairers,3.448
,,742,Telecommunications line installers and repairers,96.552
529,Telephone installers and repairers,,,
,,702,Radio and telecommunications equipment installers and repairers,79.137
,,742,Telecommunications line installers and repairers,20.863
533,Miscellaneous electrical and electronic equipment repairers,,,
,,703,Avionics technicians,15.278
,,704,"Electric motor, power tool, and related repairers",40.278
,,705,"Electrical and electronics installers and repairers, transportation equipment",4.167
,,710,"Electrical and electronics repairers, industrial and utility",4.167
,,711,"Electronic equipment installers and repairers, motor vehicles",31.944
,,743,Precision instrument and equipment repairers,1.389
,,762,"Other installation, maintenance, and repair workers",2.778
534,"Heating, air conditioning, and refrigeration mechanics",,,
,,731,"Heating, air conditioning, and refrigeration mechanics and installers",100.000
535,"Camera, watch, and musical instrument repairers",,,
,,743,Precision instrument and equipment repairers,100.000
536,Locksmiths and safe repairers,,,
,,754,Locksmiths and safe repairers,100.000
538,Office machine repairers,,,
,,701,"Computer, automated teller, and office machine repairers",100.000
539,Mechanical controls and valve repairers,,,
,,730,Control and valve installers and repairers,100.000
543,Elevator installers and repairers,,,
,,670,Elevator installers and repairers,100.000
544,Millwrights,,,
,,736,Millwrights,100.000
547,"Specified mechanics and repairers, n.e.c.",,,
,,683,"Explosives workers, ordnance handling experts, and blasters",0.461
,,702,Radio and telecommunications equipment installers and repairers,2.304
,,703,Avionics technicians,0.461
,,704,"Electric motor, power tool, and related repairers",0.461
,,712,Electronic home entertainment equipment installers and repairers,2.304
,,715,Automotive body and related repairers,0.461
,,726,"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",3.226
,,730,Control and valve installers and repairers,1.843
,,732,Home appliance repairers,1.382
,,733,Industrial and refractory machinery mechanics,8.756
,,734,"Maintenance and repair workers, general",11.521
,,735,"Maintenance workers, machinery",0.922
,,743,Precision instrument and equipment repairers,7.834
,,751,"Coin, vending, and amusement machine servicers and repairers",6.452
,,755,Manufactured building and mobile home installers,5.069
,,756,Riggers,3.226
,,762,"Other installation, maintenance, and repair workers",32.258
,,775,Miscellaneous assemblers and fabricators,3.687
,,813,Tool and die makers,0.461
,,821,"Tool grinders, filers, and sharpeners",0.461
,,823,Bookbinders and bindery workers,2.304
,,833,Shoe and leather workers and repairers,0.922
,,851,Furniture finishers,0.922
,,876,"Medical, dental, and ophthalmic laboratory technicians",0.461
,,962,"Laborers and freight, stock, and material movers, hand",1.843
549,Not specified mechanics and repairers  ,,,
,,734,"Maintenance and repair workers, general",66.667
,,735,"Maintenance workers, machinery",1.754
,,762,"Other installation, maintenance, and repair workers",31.579
553,"Supervisors; brickmasons, stonemasons, and tile setters",,,
,,620,First-line supervisors/managers of construction trades and extraction workers,100.000
554,"Supervisors, carpenters and related workers",,,
,,620,First-line supervisors/managers of construction trades and extraction workers,96.667
,,770,First-line supervisors/managers of production and operating workers,1.667
,,900,"Supervisors, transportation and material moving workers",1.667
555,"Supervisors, electricians and power transmission installers",,,
,,620,First-line supervisors/managers of construction trades and extraction workers,91.262
